Lab;Predio;Sala;Detalhe sala (mesa, armário, etc);Nome Equipamento ;Apelido;Tipo;Fabricante;Moeda;Custo de aquisição;Agência financiadora;ID_grupo (partes do mesmo conjunto têm o mesmo número de ID_grupo);Responsável;Potência elétrica;Unidade potencia elétrica;Tensão elétrica minima (V);Tensão elétrica máxima (V);Detalhe da alimentação elétrica (bivolt, trifásico, etc);Outras alimentações (ar, água, etc);Modelo;Spec1;Unidade Spec1;Spec2;Unidade Spec2;Nacionalidade;Ano de aquisição ;Apelido projeto compra;Sistema de patrimônio principal;Numero de patrimônio principal;Finalidade principal;Intervalo de calibração;Condição Equipamento;Data Atualização;Pasta de documentos;OBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;auxiliar
LPM;2;6;;placa de aquecimento com agitador magnetico;;agitador;stirrer;BRL;998,00;;;alzira;;;220;;;monofasico;MS300;;;;;brasileira;2013;;;17625; agitar  solução com controle de temperatura;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;6;;secador de mão com temporizador e aquecimento;;secador;Brakley;;;;;alzira;;;220;;;monofasico;;;;;;brasileira;;;;23578;secar  amostras ;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P1 - 1 prato  ;;politriz;fortel ;;;;;alzira;;;110;;;;PFL;;;;;brasileira;;;;;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P3 - 1 prato  ;;politriz;fortel ;BRL;;;;alzira;;;110;;;;PFL ;;;;;brasileira;;;;;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P4 - 1 prato  ;;politriz;solotest;BRL;879,80;;;alzira;;;220;;;;MAXIPLAN;;;;;brasileira;1992;;;32964;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P5 - 1 prato  ;;politriz;solotest  ;;;;;alzira;;;110;;;;MAXIPLAN;;;;;brasileira;;;;;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P6 - 1 prato  ;;politriz;solotest ;BRL;879,80;;;alzira;;;110;;;;MAXIPLAN;;;;;brasileira;1992;;;33049;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz bancada   P7 - 1 prato  ;;politriz;solotest  ;BRL;5123,43;;;alzira;;;110;;;;MAXIPLAN;;;;;brasileira;1994;;;33777;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz de  2  pratos;;politriz;Buelher;;;;;alzira;;;110;;;;;;;;;;;;;47174;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;7;;politriz de  bancada P2 - 1 prato;;politriz;Fortel ;BRL;2978,00;;;alzira;;;110;;;;PFL;;;;;brasileira;2010;;;4896;;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
